Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
assessment,1,39,1,assessment,n,1,process,n,2,62
background,1,,1,background,n,1,knowledge,n,2,
business,2,,2,business,n,1,sector,n,2,
career,2,,2,business,n,1,transaction,n,2,
class,1,,2,career,n,1,development,n,2,
climate,1,,2,career,n,1,opportunity,n,2,
conflict,1,,1,class,n,1,consciousness,n,2,
data,2,,1,climate,n,1,change,n,2,
employment,1,,1,conflict,n,1,resolution,n,2,
expert,1,,2,data,n,1,gathering,n,2,
field,1,,2,data,n,1,set,n,2,
gender,2,,1,employment,n,1,opportunity,n,2,
government,5,,1,expert,n,1,opinion,n,2,
information,5,,1,field,n,1,research,n,2,
internet,1,,2,gender,n,1,equality,n,2,
learning,7,,2,gender,n,1,stereotype,n,2,
medium,1,,5,government,n,1,control,n,2,
minority,1,,5,government,n,1,department,n,2,
opinion,1,,5,government,n,1,expenditure,n,2,
party,1,,5,government,n,1,intervention,n,2,
peace,1,,5,government,n,1,policy,n,2,
pilot,1,,5,information,n,1,flow,n,2,
planning,1,,5,information,n,1,gathering,n,2,
problem,1,,5,information,n,1,processing,n,2,
research,6,,5,information,n,1,retrieval,n,2,
risk,1,,5,information,n,1,sharing,n,2,
security,1,,1,internet,n,1,access,n,2,
service,1,,7,learning,n,1,difficulty,n,2,
source,1,,7,learning,n,1,environment,n,2,
state,1,,7,learning,n,1,objective,n,2,
stress,1,,7,learning,n,1,outcome,n,2,
survey,1,,7,learning,n,1,process,n,2,
target,1,,7,learning,n,1,resource,n,2,
teaching,1,,7,learning,n,1,strategy,n,2,
test,1,,1,medium,n,1,coverage,n,2,
thinking,1,,1,minority,n,1,group,n,2,
thought,1,,1,opinion,n,1,leader,n,2,
transport,1,,1,party,n,1,leader,n,2,
welfare,1,,1,peace,n,1,treaty,n,2,
,,,1,pilot,n,1,study,n,2,
,,,1,planning,n,1,stage,n,2,
,,,1,problem,n,1,area,n,2,
,,,6,research,n,1,effort,n,2,
,,,6,research,n,1,evidence,n,2,
,,,6,research,n,1,finding,n,2,
,,,6,research,n,1,methodology,n,2,
,,,6,research,n,1,purpose,n,2,
,,,6,research,n,1,topic,n,2,
,,,1,risk,n,1,assessment,n,2,
,,,1,security,n,1,policy,n,2,
,,,1,service,n,1,sector,n,2,
,,,1,source,n,1,material,n,2,
,,,1,state,n,1,sector,n,2,
,,,1,stress,n,1,level,n,2,
,,,1,survey,n,1,data,n,2,
,,,1,target,n,1,audience,n,2,
,,,1,teaching,n,1,strategy,n,2,
,,,1,test,n,1,score,n,2,
,,,1,thinking,n,1,process,n,2,
,,,1,thought,n,1,process,n,2,
,,,1,transport,n,1,system,n,2,
,,,1,welfare,n,1,reform,n,2,
